test_size,algo,end_time,avg_workflow_makespan,inference_1000_decisions_sec,throughput_wf_per_s,no_valid_host_steps
500,heft,5495.002000000095,250.7075379979054,0.16883603332098573,0.09099177761900566,0
500,est,4935.129999998491,213.3882680000458,13.994866749068024,0.10131445372262794,0
500,peft,4903.3709999969,198.00219199934043,14.700525451480644,0.10197066467136917,0
500,du,4645.262999990606,130.32886999826903,3.7398620952735655,0.10763653209753918,325
1000,heft,20656.0,433.0117579955685,0.8043820745369885,0.04841208365608056,0
1000,est,18996.674999995506,340.06609899844403,35.0961168189242,0.05264079108582089,0
1000,peft,18952.48500000045,324.9818529999467,37.45093780264142,0.052763529426351014,0
1000,du,18231.52199998102,159.34240599846422,3.3367238494975027,0.05485005585386897,813
5000,heft,25766.0,1942.2841297916684,3.9437859505123924,0.19405417992703564,0
5000,est,23585.992999991053,1349.5310341996264,199.32425878071808,0.2119902265722667,0
5000,peft,24239.449999949196,1177.7555977882869,212.29027102759574,0.2062753074022092,0
5000,du,18254.121999971336,279.17249939827377,3.6727753066224977,0.27391073643574043,2409
10000,heft,44209.32700015383,4174.445918796309,8.047870738839265,0.2261739926501303,0
10000,est,32219.643999978667,2589.691180316195,413.3723482597561,0.3103386244741444,0
10000,peft,31555.28399993549,2353.673342216275,433.11039353435626,0.31687244519873253,0
10000,du,22367.97299991583,494.69060035647914,3.747868712001946,0.4470230717838235,4778
20000,heft,90962.55599996634,8565.364464875844,15.838394952355884,0.2198596969945238,0
20000,est,64389.73899995361,5324.889813685415,838.8677112869336,0.31059296575211165,0
20000,peft,88761.03699986346,4760.99836018685,848.4996962702135,0.2253128250409103,0
20000,du,52206.006999926525,1148.4953169112114,3.823378990229685,0.3830785219798202,9729
